stand,plot,tree,spp,dbh,cr,logs,height,ba_tree,tpa,ba,bal,site_class,lat,lon,elev
1,11w,10,hard maple,6.2,41.17647059,2222555555,44.455,0.20965768,20,,,5,44.441,-74.251,1700
1,11w,11,hard maple,12.8,48.97959184,2222555555,66.885,0.893608591,20,,,5,44.441,-74.251,1700
1,11w,12,hard maple,13.5,38.75968992,2222555555,52.116,0.994019567,20,,,5,44.441,-74.251,1700
1,11w,13,hard maple,8.8,30.76923077,2222555555,59.93,0.422369686,20,,,5,44.441,-74.251,1700
1,11w,14,hard maple,13.5,41.6,2222555555,63.75,0.994019567,20,,,5,44.441,-74.251,1700
1,11w,15,hard maple,6.1,56.39097744,2222555555,49.476,0.20294907,20,,,5,44.441,-74.251,1700
1,11w,16,hard maple,10.3,61.98830409,2222555555,69.597,0.578631198,20,,,5,44.441,-74.251,1700
1,11w,17,hard maple,9,33.98058252,2222555555,49.955,0.441786474,20,,,5,44.441,-74.251,1700
1,12e,1,yellow birch,22.8,48.05194805,2222555555,88.088,2.835287415,20,,,5,44.441,-74.251,1700
1,12e,2,paper birch,26.5,52.84090909,2222555555,85.008,3.830179647,20,,,5,44.441,-74.251,1700
1,12e,3,hard maple,8,54.63917526,2222555555,68.094,0.349065856,20,,,5,44.441,-74.251,1700
1,12e,4,hard maple,9.5,50,2222555555,67.602,0.492237399,20,,,5,44.441,-74.251,1700
1,12e,5,hard maple,11,47.82608696,2222555555,61.41,0.659952634,20,,,5,44.441,-74.251,1700
1,12w,6,beech,5.9,69.59459459,2222555555,29.6,0.189859101,20,,,5,44.441,-74.251,1700
1,12w,7,hard maple,13,34.81481481,2222555555,52.785,0.921752026,20,,,5,44.441,-74.251,1700
1,12w,8,hard maple,11.1,36.8,2222555555,64.25,0.672006314,20,,,5,44.441,-74.251,1700
1,12w,9,hard maple,10.5,48.19277108,2222555555,62.333,0.601320479,20,,,5,44.441,-74.251,1700
1,12w,10,hard maple,10.9,48.4375,2222555555,71.168,0.648008037,20,,,5,44.441,-74.251,1700
1,13e,1,hard maple,8.7,47,2222555555,65.7,0.412824916,20,,,5,44.441,-74.251,1700
1,13e,2,hard maple,9.4,39.37007874,2222555555,57.785,0.481929047,20,,,5,44.441,-74.251,1700
1,13e,3,hard maple,7.7,35.29411765,2222555555,55.76,0.323376791,20,,,5,44.441,-74.251,1700
1,13e,4,hard maple,6.8,48.27586207,2222555555,48.836,0.252200081,20,,,5,44.441,-74.251,1700
1,13e,5,yellow birch,27.4,58.33333333,2222555555,78,4.094760657,20,,,5,44.441,-74.251,1700
1,13e,6,hard maple,10.6,53.79310345,2222555555,63.075,0.612828743,20,,,5,44.441,-74.251,1700
1,13w,7,hard maple,10.3,42.65734266,2222555555,55.627,0.578631198,20,,,5,44.441,-74.251,1700
1,13w,8,yellow birch,5.4,47.2972973,2222555555,39.812,0.159043131,20,,,5,44.441,-74.251,1700
1,13w,9,black cherry,15.2,41.96428571,2222555555,69.776,1.26012774,20,,,5,44.441,-74.251,1700
1,13w,10,hard maple,9.7,46.95652174,2222555555,55.66,0.51318135,20,,,5,44.441,-74.251,1700
1,13w,11,yellow birch,6.7,54.05405405,2222555555,46.028,0.244836973,20,,,5,44.441,-74.251,1700
1,13w,12,hard maple,17.1,42.7184466,2222555555,64.993,1.594849171,20,,,5,44.441,-74.251,1700
1,14e,1,yellow birch,19.7,41.66666667,2222555555,66.264,2.116702626,20,,,5,44.441,-74.251,1700
1,14e,2,hard maple,14.1,52.38095238,2222555555,69.384,1.084340357,20,,,5,44.441,-74.251,1700
1,14e,3,hard maple,14,53.27868852,2222555555,67.71,1.069014184,20,,,5,44.441,-74.251,1700
1,14e,4,hard maple,6.6,41.17647059,2222555555,51.34,0.237582948,20,,,5,44.441,-74.251,1700
1,14e,5,hard maple,7.6,37.69230769,2222555555,47.45,0.315031935,20,,,5,44.441,-74.251,1700
1,14e,6,hard maple,12.5,37.6146789,2222555555,59.732,0.852211563,20,,,5,44.441,-74.251,1700
1,14w,7,beech,5.4,57.97101449,2222555555,36.708,0.159043131,20,,,5,44.441,-74.251,1700
1,14w,8,hard maple,8.1,35.36585366,2222555555,58.138,0.357847044,20,,,5,44.441,-74.251,1700
1,14w,9,hard maple,15.5,45.52845528,2222555555,72.447,1.310360499,20,,,5,44.441,-74.251,1700
1,14w,10,hard maple,5.3,49.25373134,2222555555,44.756,0.153207186,20,,,5,44.441,-74.251,1700
1,14w,11,hard maple,5.3,47.12643678,2222555555,35.322,0.153207186,20,,,5,44.441,-74.251,1700
1,14w,12,hard maple,6.1,54.02298851,2222555555,52.461,0.20294907,20,,,5,44.441,-74.251,1700
1,14w,13,hard maple,10.8,47.15909091,2222555555,67.76,0.636172523,20,,,5,44.441,-74.251,1700
1,14w,14,yellow birch,18,45.38461538,2222555555,77.74,1.767145896,20,,,5,44.441,-74.251,1700
1,15e,1,hard maple,12.2,27.88461538,2222555555,46.28,0.811796281,20,,,5,44.441,-74.251,1700
1,15e,2,beech,5.3,66.31578947,2222555555,37.335,0.153207186,20,,,5,44.441,-74.251,1700
1,15e,3,beech,11.3,40.76923077,2222555555,68.64,0.696440924,20,,,5,44.441,-74.251,1700
1,15e,4,hard maple,10.9,38.1294964,2222555555,45.731,0.648008037,20,,,5,44.441,-74.251,1700
1,15e,5,hard maple,11.8,35.24590164,2222555555,58.926,0.759436403,20,,,5,44.441,-74.251,1700
1,15e,6,hard maple,11.7,51.12781955,2222555555,65.968,0.746619141,20,,,5,44.441,-74.251,1700
1,15w,7,hard maple,12.8,37.26708075,2222555555,66.815,0.893608591,20,,,5,44.441,-74.251,1700
1,15w,8,hard maple,9.5,44.75524476,2222555555,52.052,0.492237399,20,,,5,44.441,-74.251,1700
1,15w,9,hard maple,9.2,42.10526316,2222555555,65.436,0.461639595,20,,,5,44.441,-74.251,1700
1,15w,10,hard maple,18.1,32.78688525,2222555555,71.492,1.786835392,20,,,5,44.441,-74.251,1700
1,15w,11,hard maple,11,46.15384615,2222555555,75.79,0.659952634,20,,,5,44.441,-74.251,1700
1,15w,12,hard maple,10,52.75590551,2222555555,49.657,0.5454154,20,,,5,44.441,-74.251,1700
1,15w,13,hard maple,14.5,40.52287582,2222555555,62.118,1.146735879,20,,,5,44.441,-74.251,1700
1,16e,1,hard maple,11.7,37.58865248,2222555555,67.398,0.746619141,20,,,5,44.441,-74.251,1700
1,16e,2,beech,5.5,71.875,2222555555,46.08,0.164988159,20,,,5,44.441,-74.251,1700
1,16e,3,hard maple,14,41.17647059,2222555555,68.663,1.069014184,20,,,5,44.441,-74.251,1700
1,16e,4,hard maple,14.5,59.74025974,2222555555,73.458,1.146735879,20,,,5,44.441,-74.251,1700
1,16w,5,hard maple,8.1,44.44444444,2222555555,59.823,0.357847044,20,,,5,44.441,-74.251,1700
1,16w,6,beech,5.8,64.28571429,2222555555,41.58,0.183477741,20,,,5,44.441,-74.251,1700
1,16w,7,hard maple,10,52.83018868,2222555555,58.989,0.5454154,20,,,5,44.441,-74.251,1700
1,16w,8,hard maple,12,38.18181818,2222555555,54.12,0.785398176,20,,,5,44.441,-74.251,1700
1,16w,9,beech,5.7,60,2222555555,40.7,0.177205463,20,,,5,44.441,-74.251,1700
1,16w,10,hard maple,14.3,52.83018868,2222555555,65.084,1.115319951,20,,,5,44.441,-74.251,1700
1,17e,1,beech,5.3,57.66423358,2222555555,66.445,0.153207186,20,,,5,44.441,-74.251,1700
1,17e,2,red maple,13.2,60.86956522,2222555555,65.964,0.950331793,20,,,5,44.441,-74.251,1700
1,17e,3,red maple,9.2,54.83870968,2222555555,61.566,0.461639595,20,,,5,44.441,-74.251,1700
1,17e,4,hard maple,12.3,55.55555556,2222555555,57.996,0.825158959,20,,,5,44.441,-74.251,1700
